name,survived,gender,age
"Allen, Miss. Elisabeth Walton",yes,female,29.0
"Allison, Master. Hudson Trevor",yes,male,0.916700006
"Allison, Miss. Helen Loraine",no,female,2.0
"Allison, Mr. Hudson Joshua Crei",no,male,30.0
"Allison, Mrs. Hudson J C (Bessi",no,female,25.0
"Anderson, Mr. Harry",yes,male,48.0
"Andrews, Miss. Kornelia Theodos",yes,female,63.0
"Andrews, Mr. Thomas Jr",no,male,39.0
"Appleton, Mrs. Edward Dale (Cha",yes,female,53.0
"Artagaveytia, Mr. Ramon",no,male,71.0
"Astor, Col. John Jacob",no,male,47.0
"Astor, Mrs. John Jacob (Madelei",yes,female,18.0
"Aubart, Mme. Leontine Pauline",yes,female,24.0
"Barber, Miss. Ellen Nellie",yes,female,26.0
"Barkworth, Mr. Algernon Henry W",yes,male,80.0
"Baumann, Mr. John D",no,male,
"Baxter, Mr. Quigg Edmond",no,male,24.0
"Baxter, Mrs. James (Helene DeLa",yes,female,50.0
"Bazzani, Miss. Albina",yes,female,32.0
"Beattie, Mr. Thomson",no,male,36.0
"Beckwith, Mr. Richard Leonard",yes,male,37.0
"Beckwith, Mrs. Richard Leonard",yes,female,47.0
"Behr, Mr. Karl Howell",yes,male,26.0
"Bidois, Miss. Rosalie",yes,female,42.0
"Bird, Miss. Ellen",yes,female,29.0
"Birnbaum, Mr. Jakob",no,male,25.0
"Bishop, Mr. Dickinson H",yes,male,25.0
"Bishop, Mrs. Dickinson H (Helen",yes,female,19.0
"Bissette, Miss. Amelia",yes,female,35.0
"Bjornstrom-Steffansson, Mr. Mau",yes,male,28.0
"Blackwell, Mr. Stephen Weart",no,male,45.0
"Blank, Mr. Henry",yes,male,40.0
"Bonnell, Miss. Caroline",yes,female,30.0
"Bonnell, Miss. Elizabeth",yes,female,58.0
"Borebank, Mr. John James",no,male,42.0
"Bowen, Miss. Grace Scott",yes,female,45.0
"Bowerman, Miss. Elsie Edith",yes,female,22.0
"Bradley, Mr. George (George Ar",yes,male,
"Brady, Mr. John Bertram",no,male,41.0
"Brandeis, Mr. Emil",no,male,48.0
"Brewe, Dr. Arthur Jackson",no,male,
"Brown, Mrs. James Joseph (Marga",yes,female,44.0
"Brown, Mrs. John Murray (Caroli",yes,female,59.0
"Bucknell, Mrs. William Robert (",yes,female,60.0
"Burns, Miss. Elizabeth Margaret",yes,female,41.0
"Butt, Major. Archibald Willingh",no,male,45.0
"Cairns, Mr. Alexander",no,male,
"Calderhead, Mr. Edward Penningt",yes,male,42.0
"Candee, Mrs. Edward (Helen Chur",yes,female,53.0
"Cardeza, Mr. Thomas Drake Marti",yes,male,36.0
